# iter x y f(x,y)
1000 0.327263 0.104013 0.453529
2000 0.720651 0.518028 0.0782075
3000 0.842471 0.709065 0.0248633
4000 0.903578 0.816045 0.00931386
5000 0.938726 0.880953 0.00376092
6000 0.960259 0.921935 0.00158197
7000 0.973912 0.948398 0.000681716
8000 0.982745 0.965719 0.000298209
9000 0.988533 0.977152 0.000131702
10000 0.992356 0.984739 5.85276e-05
11000 0.994894 0.989793 2.61155e-05
12000 0.996585 0.993167 1.16844e-05
13000 0.997713 0.995423 5.23711e-06
14000 0.998468 0.996933 2.35014e-06
15000 0.998973 0.997944 1.05547e-06
16000 0.999312 0.998621 4.74269e-07
17000 0.999539 0.999076 2.13187e-07
18000 0.999691 0.99938 9.58516e-08
19000 0.999793 0.999584 4.31031e-08
20000 0.999861 0.999721 1.93849e-08
21000 0.999907 0.999813 8.71868e-09
22000 0.999937 0.999875 3.92156e-09
23000 0.999958 0.999916 1.76392e-09
24000 0.999972 0.999944 7.93435e-10
25000 0.999981 0.999962 3.56902e-10
26000 0.999987 0.999975 1.60543e-10
27000 0.999992 0.999983 7.22163e-11
28000 0.999994 0.999989 3.24849e-11
29000 0.999996 0.999992 1.46127e-11
30000 0.999997 0.999995 6.57322e-12
31000 0.999998 0.999997 2.95684e-12
32000 0.999999 0.999998 1.33008e-12
33000 0.999999 0.999998 5.9831e-13
34000 0.999999 0.999999 2.69139e-13
35000 1 0.999999 1.21067e-13
36000 1 1 5.44599e-14
37000 1 1 2.44978e-14
38000 1 1 1.10199e-14
39000 1 1 4.9571e-15
40000 1 1 2.22986e-15
41000 1 1 1.00306e-15
42000 1 1 4.5121e-16
43000 1 1 2.02969e-16
